GroupID,Item,Rating,App,Data,Ease,Class,Semester,Lockdown
100,3,3,3,3,2,DB,Spring,PRE
100,5,3,3,3,2,DB,Spring,PRE
100,8,2,2,3,2,DB,Spring,PRE
100,9,2,2,3,2,DB,Spring,PRE
100,14,3,3,3,2,DB,Spring,PRE
100,15,2,2,2,2,DB,Spring,PRE
100,16,3,2,2,2,DB,Spring,PRE
100,19,2,2,2,2,DB,Spring,PRE
101,1,3,3,2,2,DB,Spring,PRE
101,2,3,3,3,2,DB,Spring,PRE
101,5,2,3,2,2,DB,Spring,PRE
101,9,2,3,2,2,DB,Spring,PRE
101,17,3,3,3,3,DB,Spring,PRE
101,6,2,2,2,3,DB,Spring,PRE
101,11,2,2,2,3,DB,Spring,PRE
101,12,2,1,2,2,DB,Spring,PRE
102,9,3,2,3,2,DB,Spring,PRE
102,14,2,2,2,2,DB,Spring,PRE
102,16,3,3,2,1,DB,Spring,PRE
102,17,2,2,2,1,DB,Spring,PRE
102,19,3,2,2,1,DB,Spring,PRE
102,3,2,2,2,2,DB,Spring,PRE
102,6,1,2,2,3,DB,Spring,PRE
102,7,1,2,2,3,DB,Spring,PRE
103,28,2,2,3,3,DM,Spring,PRE
103,31,3,3,2,2,DM,Spring,PRE
103,32,3,1,2,1,DM,Spring,PRE
103,40,3,2,3,2,DM,Spring,PRE
103,49,2,1,2,2,DM,Spring,PRE
103,56,2,3,2,1,DM,Spring,PRE
103,60,2,3,1,3,DM,Spring,PRE
103,67,1,2,2,3,DM,Spring,PRE
103,27,3,2,3,3,DM,Spring,PRE
103,33,2,2,2,1,DM,Spring,PRE
103,51,2,3,3,2,DM,Spring,PRE
103,68,3,1,2,2,DM,Spring,PRE
103,69,1,1,1,3,DM,Spring,PRE
104,21,2,2,2,2,DM,Spring,PRE
104,30,1,3,3,2,DM,Spring,PRE
104,31,2,2,3,2,DM,Spring,PRE
104,41,3,3,2,2,DM,Spring,PRE
104,64,2,2,3,2,DM,Spring,PRE
104,23,2,2,1,1,DM,Spring,PRE
104,28,1,1,2,2,DM,Spring,PRE
104,49,2,2,1,1,DM,Spring,PRE
105,25,2,2,2,1,DM,Spring,PRE
105,30,3,3,2,2,DM,Spring,PRE
105,32,2,2,3,2,DM,Spring,PRE
105,40,3,3,1,2,DM,Spring,PRE
105,69,2,2,2,2,DM,Spring,PRE
105,29,2,2,2,1,DM,Spring,PRE
105,39,2,2,1,2,DM,Spring,PRE
105,41,1,1,2,1,DM,Spring,PRE
106,21,2,3,1,1,DA,Spring,PRE
106,32,3,3,3,2,DA,Spring,PRE
106,38,3,3,2,1,DA,Spring,PRE
106,46,3,3,3,1,DA,Spring,PRE
106,47,2,3,2,1,DA,Spring,PRE
106,24,3,3,3,1,DA,Spring,PRE
106,26,3,2,3,1,DA,Spring,PRE
106,29,3,3,3,1,DA,Spring,PRE
107,26,3,3,3,3,DA,Spring,PRE
107,32,3,3,2,3,DA,Spring,PRE
107,33,3,3,2,2,DA,Spring,PRE
107,40,3,3,2,2,DA,Spring,PRE
107,41,3,3,3,2,DA,Spring,PRE
107,65,3,3,3,3,DA,Spring,PRE
107,22,3,3,2,2,DA,Spring,PRE
107,56,3,2,2,2,DA,Spring,PRE
107,59,3,2,2,2,DA,Spring,PRE
108,25,2,2,2,2,DA,Spring,PRE
108,48,1,2,2,2,DA,Spring,PRE
108,49,2,2,2,3,DA,Spring,PRE
108,27,2,2,2,2,DA,Spring,PRE
108,28,2,1,2,2,DA,Spring,PRE
108,35,1,1,3,1,DA,Spring,PRE
108,42,3,2,1,2,DA,Spring,PRE
108,46,2,2,2,2,DA,Spring,PRE
108,26,3,3,3,3,DA,Spring,PRE
108,30,2,2,2,3,DA,Spring,PRE
108,32,3,3,3,2,DA,Spring,PRE
108,39,3,3,3,2,DA,Spring,PRE
108,66,3,3,3,2,DA,Spring,PRE
108,51,1,1,2,1,DA,Spring,PRE
108,52,1,1,2,1,DA,Spring,PRE
108,56,3,3,3,3,DA,Spring,PRE
109,25,2,2,2,2,DA,Spring,PRE
109,26,3,3,2,3,DA,Spring,PRE
109,34,1,1,1,2,DA,Spring,PRE
109,40,2,1,2,2,DA,Spring,PRE
109,59,2,2,2,2,DA,Spring,PRE
109,28,2,2,2,2,DA,Spring,PRE
109,48,2,2,2,2,DA,Spring,PRE
109,51,2,3,3,2,DA,Spring,PRE
110,21,3,3,3,3,DA,Spring,PRE
110,23,3,3,3,3,DA,Spring,PRE
110,26,3,3,3,3,DA,Spring,PRE
110,29,3,3,3,3,DA,Spring,PRE
110,32,3,3,3,3,DA,Spring,PRE
110,35,3,3,3,3,DA,Spring,PRE
110,36,3,3,3,3,DA,Spring,PRE
110,38,3,3,3,3,DA,Spring,PRE
110,41,3,3,3,3,DA,Spring,PRE
110,42,3,3,3,3,DA,Spring,PRE
110,49,3,3,3,3,DA,Spring,PRE
110,57,3,3,3,3,DA,Spring,PRE
110,63,3,3,3,3,DA,Spring,PRE
110,66,3,3,3,3,DA,Spring,PRE
110,69,3,3,3,3,DA,Spring,PRE
110,22,3,3,2,3,DA,Spring,PRE
110,24,2,3,2,3,DA,Spring,PRE
110,25,2,2,2,2,DA,Spring,PRE
110,31,2,2,2,2,DA,Spring,PRE
110,37,2,2,2,2,DA,Spring,PRE
110,44,2,2,2,3,DA,Spring,PRE
110,68,2,2,2,2,DA,Spring,PRE
111,43,2,2,2,2,DA,Spring,PRE
111,56,3,3,2,2,DA,Spring,PRE
111,60,2,2,2,1,DA,Spring,PRE
111,61,2,2,2,1,DA,Spring,PRE
111,63,3,2,3,2,DA,Spring,PRE
111,21,3,2,2,2,DA,Spring,PRE
111,29,3,2,2,3,DA,Spring,PRE
111,33,2,1,2,2,DA,Spring,PRE
112,21,2,2,2,2,DA,Spring,PRE
112,49,3,3,3,3,DA,Spring,PRE
112,55,3,3,3,3,DA,Spring,PRE
112,60,2,2,2,2,DA,Spring,PRE
112,69,3,3,3,3,DA,Spring,PRE
112,23,2,2,2,2,DA,Spring,PRE
112,27,2,2,2,2,DA,Spring,PRE
112,30,2,2,2,2,DA,Spring,PRE
112,34,2,2,2,2,DA,Spring,PRE
112,44,2,2,2,2,DA,Spring,PRE
113,33,2,2,2,2,DA,Spring,PRE
