Executing Case 1: Running Model Training with all context and all criteria
AFM - RMSE: 1.0195, MAE: 0.8271, Time: 33.34s, CPU: -0.10%, Memory: 2195.10MB
AutoInt - RMSE: 0.8035, MAE: 0.6201, Time: 21.10s, CPU: -0.10%, Memory: 0.34MB
CCPM - RMSE: 1.0800, MAE: 0.8491, Time: 20.87s, CPU: 0.30%, Memory: 616.73MB
DCN - RMSE: 0.7984, MAE: 0.6176, Time: 13.69s, CPU: 0.00%, Memory: 0.83MB
DeepFM - RMSE: 0.8071, MAE: 0.6244, Time: 12.89s, CPU: 0.00%, Memory: 0.00MB
DIFM - RMSE: 1.2069, MAE: 0.9383, Time: 17.31s, CPU: 0.20%, Memory: 0.00MB
FiBiNET - RMSE: 0.8661, MAE: 0.6476, Time: 29.94s, CPU: 0.10%, Memory: 0.00MB
NFM - RMSE: 0.8105, MAE: 0.6234, Time: 11.95s, CPU: 0.00%, Memory: 0.00MB
ONN - RMSE: 1.1036, MAE: 0.8259, Time: 35.63s, CPU: 0.00%, Memory: 0.86MB
PNN - RMSE: 0.8423, MAE: 0.6259, Time: 11.77s, CPU: 0.00%, Memory: 0.00MB
WDL - RMSE: 0.8058, MAE: 0.6233, Time: 11.37s, CPU: 0.10%, Memory: 0.00MB
xDeepFM - RMSE: 0.8011, MAE: 0.6170, Time: 21.28s, CPU: 0.00%, Memory: 32.43MB
IFM - RMSE: 1.0893, MAE: 0.8758, Time: 14.85s, CPU: -0.20%, Memory: 0.00MB
MLR - RMSE: 0.8653, MAE: 0.6954, Time: 25.69s, CPU: 0.40%, Memory: 0.31MB
MultiHeadAttentionModel - RMSE: 0.8071, MAE: 0.5822, Time: 19.80s, CPU: 0.00%, Memory: 0.00MB
==============================================================================================

Executing Case 2: Running Model Training without all context and without all criteria
AFM - RMSE: 1.0896, MAE: 0.8946, Time: 25.54s, CPU: -0.10%, Memory: 2211.48MB
AutoInt - RMSE: 0.9288, MAE: 0.7193, Time: 14.44s, CPU: -0.10%, Memory: 1.43MB
CCPM - RMSE: 1.2299, MAE: 0.9755, Time: 15.56s, CPU: 0.10%, Memory: 610.15MB
DCN - RMSE: 0.9311, MAE: 0.7195, Time: 11.35s, CPU: 0.00%, Memory: 0.35MB
DeepFM - RMSE: 0.9328, MAE: 0.7249, Time: 10.32s, CPU: 0.00%, Memory: 0.00MB
DIFM - RMSE: 1.2499, MAE: 0.9756, Time: 12.02s, CPU: -0.20%, Memory: 0.00MB
FiBiNET - RMSE: 1.0288, MAE: 0.7886, Time: 10.23s, CPU: 0.00%, Memory: 0.00MB
NFM - RMSE: 1.0421, MAE: 0.7997, Time: 8.65s, CPU: 0.00%, Memory: 0.00MB
ONN - RMSE: 1.1746, MAE: 0.8794, Time: 11.09s, CPU: 0.00%, Memory: 0.00MB
PNN - RMSE: 0.9915, MAE: 0.7564, Time: 6.89s, CPU: 0.10%, Memory: 0.00MB
WDL - RMSE: 0.9317, MAE: 0.7235, Time: 8.92s, CPU: 0.10%, Memory: 0.00MB
xDeepFM - RMSE: 0.9351, MAE: 0.7262, Time: 12.72s, CPU: 0.20%, Memory: 28.30MB
IFM - RMSE: 1.1165, MAE: 0.9677, Time: 9.42s, CPU: 0.00%, Memory: 0.00MB
MLR - RMSE: 1.3332, MAE: 1.1136, Time: 13.95s, CPU: 0.10%, Memory: 0.00MB
MultiHeadAttentionModel - RMSE: 1.0017, MAE: 0.7068, Time: 14.40s, CPU: 0.10%, Memory: 1.12MB
==============================================================================================

Executing Case 3: Running Prediction with all criteria, without context
AFM - RMSE: 0.9733, MAE: 0.8029, Time: 29.97s, CPU: -0.30%, Memory: 2191.35MB
AutoInt - RMSE: 0.8021, MAE: 0.6179, Time: 13.59s, CPU: 0.00%, Memory: 1.11MB
CCPM - RMSE: 1.0452, MAE: 0.8503, Time: 26.55s, CPU: 0.10%, Memory: 611.30MB
DCN - RMSE: 0.7988, MAE: 0.6148, Time: 20.06s, CPU: -0.10%, Memory: 0.26MB
DeepFM - RMSE: 0.8092, MAE: 0.6264, Time: 12.03s, CPU: 0.00%, Memory: 0.00MB
DIFM - RMSE: 1.0702, MAE: 0.8706, Time: 13.63s, CPU: 0.20%, Memory: 0.00MB
FiBiNET - RMSE: 0.8587, MAE: 0.6450, Time: 16.92s, CPU: 0.10%, Memory: 0.00MB
NFM - RMSE: 0.8474, MAE: 0.6465, Time: 13.06s, CPU: 0.00%, Memory: 0.00MB
